,date_id,r1,r2,r3,r4,r5,r6,blue
0,3001,10,11,12,13,26,28,11
1,3002,4,9,19,20,21,26,12
2,3003,1,7,10,23,28,32,16
3,3004,4,6,7,10,13,25,3
4,3005,4,6,15,17,30,31,16
5,3006,1,3,10,21,26,27,6
6,3007,1,9,19,21,23,26,7
7,3008,5,8,9,14,17,23,8
8,3009,5,9,18,20,22,30,9
9,3010,1,2,8,13,17,24,13
10,3011,4,5,11,12,30,32,15
11,3012,2,12,16,17,27,30,12
12,3013,8,13,17,21,23,32,12
13,3014,3,5,7,8,21,31,2
14,3015,4,11,19,25,26,32,13
15,3016,11,17,28,30,31,33,6
16,3017,5,8,18,23,25,31,6
17,3018,5,16,19,20,25,28,13
18,3019,4,8,12,13,16,33,9
19,3020,7,10,25,26,27,32,4
20,3021,14,15,18,25,26,30,1
21,3022,2,7,11,12,14,32,8
22,3023,1,10,20,22,26,31,2
23,3024,2,7,15,17,22,30,14
24,3025,1,5,11,13,14,27,12
25,3026,8,13,15,26,29,31,16
26,3027,1,11,14,17,27,28,15
27,3028,6,13,16,20,28,32,7
28,3029,2,7,15,26,29,32,10
29,3030,2,6,13,14,23,27,7
30,3031,11,17,20,22,28,32,1
31,3032,4,11,25,27,29,30,13
32,3033,1,7,14,20,27,30,10
33,3034,8,13,14,16,23,25,14
34,3035,3,4,5,8,10,11,8
35,3036,7,21,24,25,27,28,15
36,3037,9,14,17,18,26,32,7
37,3038,5,7,8,24,25,27,16
38,3039,3,5,23,24,27,32,3
39,3040,4,5,6,12,14,23,16
40,3041,2,3,17,18,24,25,11
41,3042,3,5,7,10,15,20,7
42,3043,2,8,10,19,20,32,13
43,3044,2,5,9,16,32,33,15
44,3045,3,7,14,15,17,32,3
45,3046,7,8,10,11,17,26,11
46,3047,3,17,26,28,32,33,16
47,3048,10,12,20,28,30,31,9
48,3049,3,6,7,13,24,25,15
49,3050,2,8,17,23,24,26,13
50,3051,4,13,15,17,24,27,1
51,3052,1,12,13,23,30,31,11
52,3053,15,19,20,21,28,29,13
53,3054,2,5,9,21,31,33,12
54,3055,6,13,16,21,28,31,16
55,3056,8,17,21,26,28,29,7
56,3057,18,19,24,25,30,31,16
57,3058,9,11,16,28,32,33,2
58,3059,2,3,5,6,18,30,4
59,3060,2,4,6,17,21,28,11
60,3061,3,5,20,21,28,32,2
61,3062,1,6,12,19,20,32,14
62,3063,5,8,9,14,21,33,11
63,3064,4,6,8,12,15,30,1
64,3065,6,15,16,17,30,33,11
65,3066,3,7,8,20,24,32,14
66,3067,5,11,12,13,27,31,10
67,3068,9,19,25,27,32,33,11
68,3069,7,11,16,19,26,28,11
69,3070,1,2,4,17,18,19,8
70,3071,9,11,12,14,15,33,11
71,3072,3,6,8,11,19,27,11
72,3073,2,12,14,21,23,30,13
73,3074,2,12,19,22,27,32,1
74,3075,16,17,19,22,31,33,11
75,3076,1,13,16,18,20,29,2
76,3077,4,12,16,22,24,25,6
77,3078,7,12,23,26,29,30,11
78,3079,12,15,22,23,26,31,4
79,3080,9,20,24,25,28,30,10
80,3081,1,2,14,26,29,30,7
81,3082,7,17,18,19,30,31,14
82,3083,1,3,14,18,26,28,1
83,3084,2,6,7,10,17,33,3
84,3085,1,4,11,12,19,27,14
85,3086,5,12,16,18,26,30,13
86,3087,2,3,4,5,24,28,13
87,3088,3,10,21,22,24,33,12
88,3089,18,19,21,26,27,33,16
89,4001,1,2,3,7,10,25,7
90,4002,10,12,18,22,30,31,11
91,4003,3,5,6,17,26,33,8
92,4004,10,19,22,23,25,29,9
93,4005,9,11,13,16,17,18,7
94,4006,4,12,18,20,23,32,6
95,4007,4,12,17,20,25,28,9
96,4008,1,7,10,22,32,33,13
97,4009,1,9,10,16,22,24,11
98,4010,6,7,8,13,14,19,15
99,4011,1,4,13,23,28,30,3
100,4012,1,7,27,30,31,33,8
101,4013,12,14,21,29,30,32,13
102,4014,3,7,11,17,20,26,12
103,4015,1,3,5,18,22,23,13
104,4016,4,7,8,28,30,32,5
105,4017,5,12,14,15,25,31,9
106,4018,2,5,6,8,28,30,6
107,4019,5,10,11,23,24,32,4
108,4020,1,2,9,22,28,31,4
109,4021,5,9,11,17,26,27,10
110,4022,3,10,14,19,20,30,6
111,4023,1,8,14,17,19,30,3
112,4024,1,13,21,23,25,32,6
113,4025,7,8,10,24,29,33,4
114,4026,4,10,14,18,28,32,15
115,4027,1,5,9,10,18,32,11
116,4028,1,2,3,5,10,22,12
117,4029,9,13,20,22,24,32,5
118,4030,1,7,9,17,26,31,5
119,4031,3,6,19,20,21,24,11
120,4032,2,5,8,11,15,31,13
121,4033,1,4,8,9,19,20,1
122,4034,2,7,13,20,27,30,14
123,4035,2,8,26,27,30,32,16
124,4036,2,13,17,18,26,30,1
125,4037,3,4,11,17,20,26,5
126,4038,11,16,17,25,28,29,7
